Ref, Nombre, Descripción, Web
A, Canelones, División Turismo de la Intendencia , https://www.imcanelones.gub.uy/es
B, Maldonado, División Turismo de la Intendencia , https://www.maldonado.gub.uy/
C, Rocha, La Organización de Gestión del Destino (OGD) Rocha es un ámbito de articulación público – privada en el sector turístico que integran la Corporación Rochense de Turismo y la Intendencia de Rocha a través de su Dirección de Turismo. , www.turismorocha.gub.uy
D, Treinta y Tres, División Turismo de la Intendencia ,https://treintaytres.gub.uy/
E, Cerro Largo, División Turismo de la Intendencia , https://www.gub.uy/intendencia-cerro-largo/
F, Rivera, Promociona e implementa proyectos e iniciativas sostenibles de interés turístico con la participación institucional pública – privada en bien del desarrollo socioeconómico de la comunidad.  , www.rivera.gub.uy/social/turismo/
G, Artigas, División Turismo de la Intendencia , http://www.artigas.gub.uy
H, Salto, División Turismo de la Intendencia , https://www.salto.gub.uy
I, Paysandú, División Turismo de la Intendencia , https://www.paysandu.gub.uy
J, Río Negro, División Turismo de la Intendencia ,https://www.rionegro.gub.uy
K, Soriano, División Turismo de la Intendencia , https://www.soriano.gub.uy
L, Colonia, La propuesta del Departamento de Colonia divide en cuatro actos su espectáculo anual. Cada acto tiene su magia. Desde su naturaleza y playas hasta sus tradiciones y el patrimonio mundial. Todo el año se disfruta. , https://colonia.gub.uy/turismo/
M, San José, División Turismo de la Intendencia , https://sanjose.gub.uy
N, Flores, División Turismo de la Intendencia , https://flores.gub.uy
O, Florida, División Turismo de la Intendencia , http://www.florida.gub.uy
P, Lavalleja, División Turismo de la Intendencia , http://www.lavalleja.gub.uy
Q, Durazno, División Turismo de la Intendencia , https://durazno.uy
R, Tacuarembó, División Turismo de la Intendencia , https://tacuarembo.gub.uy
S, Montevideo, División Turismo de la Intendencia , https://montevideo.gub.uy/areas-tematicas/turismo
