Ref, RefActiv, Nombre, Fecha, Hora, TuristaMax, Lugar, FechaAlta
S1, A1, Degusta Agosto, 20/08/2022, 17hs, 20, Sociedad Agropecuaria de Rocha, 21/07/2022 
S2, A1, Degusta Setiembre, 03/09/2022, 17hs, 20, Sociedad Agropecuaria de Rocha, 22/07/2022
S3, A2, Teatro con Sabores 1, 04/09/2022, 18hs, 30, Club Deportivo Unión, 23/07/2022
S4, A2, Teatro con Sabores 2, 11/09/2022, 18hs, 30, Club Deportivo Unión, 23/07/2022
S5, A3, Tour Colonia del Sacramento 11-09, 11/09/2022, 10hs, 5, Encuentro en la base del Faro, 05/08/2022
S6, A3,Tour Colonia del Sacramento 18-09, 18/09/2022, 10hs, 5, Encuentro en la base del Faro, 05/08/2022
S7, A4, Almuerzo 1, 18/09/2022, 12hs, 5, Restaurante de la Plaza de Toros, 04/08/2022
S8, A4, Almuerzo 2, 25/09/2022, 12hs, 5, Restaurante de la Plaza de Toros, 04/08/2022
S9, A5, Almuerzo 3, 10/09/2022, 12hs, 4, Posada Del Lunarejo, 15/08/2022
S10, A5, Almuerzo 4, 11/09/2022, 12hs, 4, Posada Del Lunarejo, 15/08/2022
S11, A6, Cabalgata 1, 10/09/2022, 16hs, 4, Posada del Lunarejo, 15/08/2022
S12, A6, Cabalgata 2, 11/09/2022, 16hs, 4, Posada del Lunarejo, 15/08/2022
